grup,equip,posicio_final
Group A,Mexico,2
Group A,South Africa,4
Group A,South Korea,1
Group A,Czech Republic,3
Group B,Canada,2
Group B,Bosnia & Herzegovina,3
Group B,Qatar,4
Group B,Switzerland,1
Group C,Brazil,1
Group C,Morocco,2
Group C,Haiti,4
Group C,Scotland,3
Group D,USA,2
Group D,Paraguay,3
Group D,Australia,4
Group D,Turkey,1
Group E,Germany,1
Group E,Curaçao,4
Group E,Ivory Coast,2
Group E,Ecuador,3
Group F,Netherlands,1
Group F,Japan,2
Group F,Sweden,3
Group F,Tunisia,4
Group G,Belgium,1
Group G,Egypt,2
Group G,Iran,3
Group G,New Zealand,4
Group H,Spain,1
Group H,Cape Verde,3
Group H,Saudi Arabia,4
Group H,Uruguay,2
Group I,France,1
Group I,Senegal,3
Group I,Iraq,4
Group I,Norway,2
Group J,Argentina,1
Group J,Algeria,3
Group J,Austria,2
Group J,Jordan,4
Group K,Portugal,1
Group K,DR Congo,3
Group K,Uzbekistan,4
Group K,Colombia,2
Group L,England,1
Group L,Croatia,2
Group L,Ghana,3
Group L,Panama,4
